YEAR," GDP"
1960,37.029883876184
1961,39.232435784036
1962,42.161481858082
1963,48.421923459123
1964,56.48028994099
1965,59.554854575809
1966,45.865462034286
1967,50.134942204
1968,53.085455870667
1969,58.447995017333
1970,62.422483054667
1971,67.350988021393
1972,71.463193831009
1973,85.5152695854
1974,99.525899116054
1975,98.472796456884
1976,102.7171644664
1977,121.48732247591
1978,137.3002953133
1979,152.99165379377
1980,186.32534508666
1981,193.49061002979
1982,200.71514536315
1983,218.26227340697
1984,212.15823416731
1985,232.5118778417
1986,248.98599404059
1987,279.03358409222
1988,296.58899481235
1989,296.04235498488
1990,320.97902642003
1991,270.10534187923
1992,288.20843038396
1993,279.29602298792
1994,327.27558353956
1995,360.2819527168
1996,392.89705434807
1997,415.86775386387
1998,421.35147750474
1999,458.82041733781
2000,468.39493726237
2001,485.44101453864
2002,514.93794887008
2003,607.69928543387
2004,709.14851480466
2005,820.3815955129
2006,940.25988879214
2007,1216.7354415249
2008,1198.8955821375
2009,1341.8866027987
2010,1675.6153356006
2011,1823.0499277721
2012,1827.6378595062
2013,1856.7221213944
2014,2039.1274462993
2015,2103.5878138128
2016,2294.797980509
2017,2651.4729463751
2018,2702.9297189605
2019,2831.55222252
2020,2667.6879517965
2021,3176.2950654972
